ID,분류,전시형태,작동방식,제목,내용,영문 내용,세부 설명,영문 세부 설명,비고 및 주의사항,상태,영문,사진1,사진2
빛-1,도입,패널/키오스크,텍스트,에코크리에이터,"에코크리에이터(Eco Creator)란 씨앗을 심고 숲을 가꾸며 아름다운 미래의 자연을 만들어가는 사람들, 지구 환경의 수호자!","Light Playground is an immersive real-media exhibition themed 'Temperate Forest Through Interaction'. Become an Eco Creator?plant seeds, nurture forests, and build a beautiful future of nature. Complete the forest flora and fauna encyclopedia through the application.",,,"36개월 미만 무료(증빙 필요), 어두운 환경으로 유아는 보호자 동반 필수. 상설전시관 예약 필수",정상,,,
빛-3,식물 전략,체험,내러티브,똑똑한 식물 전략,"바람을 타고, 빗방울에 섞여, 동물의 걸음에 실려, 작은 씨앗들은 세상을 향해 흘러갑니다. 그 여정은 멀고도 느리지만, 멈추지 않았어요. 자 이제, 조용히 귀를 기울여 볼래요? 새로 태어난 씨앗들이 당신의 손길을 기다리고 있어요. 햇빛과 물, 바람을 나누어 주세요. 작은 관심이 숲을 자라게 하니까요.","Plants spread seeds in various ways: wind, water, and animal fur. Touch the seeds on the screen to start the next journey.","산포 방식: 바람(민들레), 물(연꽃), 자체산포(제비꽃), 동물매개(도깨비바늘)","Dispersal Methods: Wind (Dandelion), Water (Lotus), Self-dispersal (Violet), Animal-mediated (Beggarticks)",벽면/바닥면 인터랙션 연동,정상,,,
빛-4,씨앗을 퍼뜨리다,체험,작동형/센서,식물의 성장 - 체험,"1. 민들레의 성장: 직접 바람을 불어 민들레 홀씨를 날리고 바람을 통해 분포되는 씨앗의 특성 체험
2. 식물 키우기: 벽면 터치 인터랙션을 통해 직접 식물의 성장을 체험 (새싹에 물 주기 → 광합성을 통해 식물 키우기 → 바람으로 식물 힘 길러주기)
3. 유기물 순환: 푸른 새싹 터치 → 새싹이 나무로 성장, 푸른 잎이 돋아나며 커다란 나무가 됨 → 푸른 나무가 붉게 물듬 → 낙엽이 지며 다시 ???으로 되돌아감 → 푸른 새싹을 터치.... 이렇게 순환/반복","Blow into the wind sensor to fly dandelion seeds, or step on plants on the floor to see seeds burst out.","인터랙션: 1. 민들레 홀씨 불기(바람센서), 2. 연꽃 밟기(물 산포), 3. 제비꽃 밟기(폭발형 산포), 4. 도깨비바늘(의존형 산포)","Interactions: 1. Blowing Dandelion (Wind sensor), 2. Stepping on Lotus (Water dispersal), 3. Stepping on Violet (Explosive), 4. Beggarticks (Dependent)",체험 시간 약 5분 소요,정상,,,
,,패널,텍스트,씨앗의 산포,"1. 자가산포: 식물 스스로의 힘으로 씨앗을 멀리 튕겨내는 방식입니다. 주로 꼬투리나 열매 껍질이 마르면서 마치 활시위를 당기읏 팽팽해지다가, 더 이상 견딜 수 없는 순간에 ""팡!"" 하고 터지며 씨앗을 쏘아 올립니다. (대표식물: 봉선화, 제비꽃)
2. 풍매: 바람의 흐름을 타고 씨앗을 멀리 이동시키는 방식입니다. 씨앗이 땅에 떨어지는 속도를 최대한 늦추는 것이 핵심입니다. 공중에 오래 머물러야 작은 바람에도 멀리 날아갈 수 있기 때문입니다. (대표식물: 민들레, 단풍나무)
3. 수매: 강물이나 바닷물에 떠내려가며 이동하는 방식입니다. 씨앗 내부에 공기 주머니가 있어 물에 잘 뜨도록 설계되었습니다. 또한, 바닷물에 닿아도 속이 썩지 않게 껍질에 기름기가 있거나 아주 단단한 껍데기로 감싸져 있습니다. (대표식물: 코코넛, 연꽃)
4. 동물매개: 동물의 이동 능력을 빌려 씨앗을 퍼뜨리는 방식입니다. 부착형-동물의 털에 찍찍이처럼 잘 붙도록 갈고리나 가시를 가지고 있습니다. (대표식물: 도깨비바늘) 섭취형-동물이 먹고 싶게끔 맛있고 화려한 열매를 맺습니다. 씨앗은 소화되지 않고 배설물과 함께 나옵니다. (대표식물: 딸기)",,,,,,,,
빛-5,신비한 식물 속으로,영상,내러티브,신비한 식물속으로,"햇살이 닿는 순간, 식물의 초록 세포들이 깨어나며 생명의 에너지를 만들어 냅니다. 에너지는 잎맥을 따라 흐르고 아주 작은 통로로 수분과 영양이 오가며 식물은 스스로 생명을 이어갑니다. 가까이 들여다보면, 잎 속에 별처럼 얽히고 흐르는 정교한 생명의 그물망이 있습니다. 이 구조는 작은 잎사귀에서 숲 전체에 이르기까지 완벽한 균형과 순환을 이루죠.

광합성: 식물이 햇빛을 받아 스스로 에너지를 만드는 과정을 말하며, 잎 속의 초록색 세포들이 빛을 흡수해 생명 활동에 필요한 영양분을 잎맥을 통해 구석구석 전달합니다.

피보나치 수열: 앞의 두 수를 더해 다음 수를 만드는 수학적 규칙으로 식물은 이 비율에 맞춰 잎을 배치해 서로 겹치지 않고 햇빛을 최대한 골고루 많이 받을 수 있게 전략적으로 성장합니다.

프랙탈 구조: 작은 부분의 모양이 전체의 모양과 끊임없이 닮아 있는 기하학적 형태를 뜻하며, 미세한 잎맥의 그물망이 잎 전체와 숲의 구조까지 반복되면서 영양분을 효율적으로 이동시킵니다.","Explore scientific principles like photosynthesis, Fibonacci sequences in leaf veins, and fractal structures as plants create energy from sunlight.","식물이 햇빛을 받아 에너지를 만드는 광합성 과정과 잎맥 속에 숨겨진 피보나치 수열, 프랙탈 구조 등 과학적 원리를 탐색합니다.

교육 내용: 광합성 원리, 잎맥 내부 탐색, 기하학적 망상구조의 효율성","Educational Content: Principles of photosynthesis, exploration of leaf veins, efficiency of geometric network structures",현장 모니터를 통한 세부 정보 제공,정상,,,
