title,content,detail,category
스폿해설 「헬로 다이노!」,백악기 시대의 지구는 어떤 모습일까요? 백악기에 살았던 초식공룡과 육식공룡을 만나보아요.,장소: 2층 공룡 전시물 앞 / 운영월: 1, 3, 5, 7, 9, 11월 / 운영시간: 약 15분 / 비용: 무료 / 참여방법: 자유 관람,전시해설
전시톡톡해설 「짹짹 새 탐험대」,우리 주변에는 어떤 새들이 살고 있을까요? 다양한 새들의 모습과 특징을 퀴즈로 알아보아요.,장소: 1층 과학극장 / 운영월: 2, 4, 6, 8, 10, 12월 / 운영시간: 약 15분 / 비용: 무료 / 참여방법: 선착순 입장 및 관람 (25분부터 입장 가능, 29분 59초에 입장 마감),전시해설
단체해설 「북적북적 과학관」,로꾸거 간호사의 실수로 알이 바뀌게 된 소동! 우당탕탕 공룡 가족 이야기를 빅북(대형 도서)으로 만나보아요.,장소: 2층 공룡 전시물 / 운영월: 개학기간 3-7월 / 운영시간: 약 15분 / 비용: 무료 / 참여방법: 단체 예약 프로그램, 신청콕으로 예약 / 시간: 10:40 시작,전시해설
사이언스랩,드라이아이스 구름 만들기, 비눗방울 터뜨리기, 보이지 않는 힘 실험 등을 통해 기체의 성질과 현상을 체험해요.,장소: 1층 과학극장 / 운영월: 홀수월(1, 3, 5, 7, 9, 11월) / 운영시간: 약 25분 / 비용: 무료 / 참여방법: 선착순 입장 (정원 95명, 25분부터 입장 가능, 29분 59초 마감),과학쇼
로봇쇼,축구로봇, 댄스로봇 등 다양한 로봇들의 공연을 통해 로봇의 원리와 기술을 배워요.,장소: 1층 과학극장 / 운영월: 짝수월(2, 4, 6, 8, 10, 12월) / 운영시간: 약 25분 / 비용: 무료 / 참여방법: 선착순 입장 (정원 95명, 25분부터 입장 가능, 29분 59초 마감),과학쇼
