title,content,detail,category
천체투영관 소개,돔 스크린에서 별자리와 우주를 관람하는 곳이에요. 계절별 별자리 해설과 천문 영상을 상영해요.,천체투영관,천체투영관
코코몽 우주탐험,토성의 위성 타이탄에 살고 있는 핼리의 부모님을 세균킹에게서 구출하기 위한 모험 이야기예요.,1회차(10시) 상영 / 약 30분 / 유아 이상 권장,천체투영관 프로그램
길냥이 키츠 슈퍼문 대모험,고양이들과 재미있게 알아보는 아폴로 미션과 미래에 만들어질 달 기지에 대한 이야기예요.,2회차(11시) 상영 / 약 30분 / 유아 이상 권장,천체투영관 프로그램
바니 앤 비니,잠수함 바니와 해마 비니가 들려주는 아름다운 바다와 별 이야기예요.,3회차(12시) 및 6회차(16시) 상영 / 약 30분 / 유아 이상 권장,천체투영관 프로그램
다이노소어,공룡이 살던 환경은 어땠을까? 달과 셀레스테의 시간여행 이야기예요.,4회차(14시) 상영 / 약 30분 / 초등학생 이상 권장,천체투영관 프로그램
길냥이 키츠 우주정거장의 비밀,미래, 키츠, 뚜띠 뻬뻬, 세 마리 고양이들이 냐샤(NYASA, 고양이우주국)에서 청소부로 일하며 국제우주정거장에서 A.I.를 만나는 이야기예요.,5회차(15시) 상영 / 약 30분 / 유아 이상 권장,천체투영관 프로그램
천체투영관 시간표,1회차(10시): 코코몽 우주탐험 / 2회차(11시): 길냥이 키츠 슈퍼문 대모험 / 3회차(12시): 바니 앤 비니 / 4회차(14시): 다이노소어 / 5회차(15시): 길냥이 키츠 우주정거장의 비밀 / 6회차(16시): 바니 앤 비니,각 회차 약 30분 / 정원 65명 / 사전예약 필수,천체투영관
천체투영관 예약,홈페이지에서 사전 예약이 필수예요. 현장 예약은 불가해요. 예약은 2주일 전 0시에 오픈돼요.,예약은 관람일 14일 전 0시부터 / 현장판매 불가 / 30분 이내 미결제 시 자동취소,천체투영관
천체투영관 입장 규칙,상영 시작 후에는 안전상의 이유로 입장과 퇴장이 불가해요. 시작 10분 전까지 티켓 발권을 완료하고 투영관 앞에서 대기해주세요.,정각부터 입장 가능 / 정각 + 9분(09분)에 입장 마감 / 늦어 관람 못한 경우 환불 불가,천체투영관
