1F (행동놀이터/Activity Zone) 우리 몸 탐험으로 건강한 어린이 되기,,,,,,,,,,,
ID,분류,전시형태,작동방식,제목,내용,세부 설명,비고 및 주의사항,상태,영문,사진1,사진2
행동-8,"면역터널 바이러스를 물리쳐요!
Beat the Virus!
",체험,신체활동,"면역터널
(놀이터)","아래 텍스트 패널 & 
면역터널 안전수칙
첫째! 신발을 신고 들어가요.
둘째! 다른 친구들을 밀거나 뛰지 않아요.
셋째! 보호자는 옆에서 지켜봐 주세요.
<주의해주세요!>
유아(5~7세) 및 초등 저학년 어린이의 이용을 권장합니다.
초등 고학년 어린이는 동생들에게 양보해주세요.","Experience guide
Put on your shoes
You can Experience this place until 10 years old
parents, please watch your child",,,,,
,,패널,텍스트,백혈구는 무슨 일을 할까요?,"세균이나 바이러스는 음식을 먹거나 숨을 쉴 때 우리 몸 속으로 들어와요. 이때 우리 몸 속의 백혈구는 면역계 세포로서 이들을 잡아먹으며 우리 몸을 건강하게 지켜주는 역할을 해요. 터널로 들어가 내가 백혈구가 된 것처럼 세균, 바이러스와 싸워 물리쳐보아요.",,,,,,
,,,,바이러스를 잡아요,그물에 걸려있는 바이러스를 잡아 보아요.,,,,,,
,,,,세균을 지워요,백혈구로 세균을 가려서 깨끗하게 만들어요.,,,,,,
,,,,백혈구를 튼튼하게!,"영상을 보면서
튼튼한 몸을 갖는 방법을 알아보아요.",,,,,,
,,,,세균을 물리쳐요,바닥에 있는 세균을 힘껏 밟아 보아요.,,,,,,
,,,디지털 디스플레이,건강을 지키려면 손부터 잘 씻어요!,"1. 손바닥: 손바닥을 마주대고 문지르기
2. 손등: (손)등과 손바닥을 대고 문지르기
3. 손가락 사이: 손깍지를 끼고 손가락 사이 닦아주기
4. 두 손 모아: 손가락 마주잡고 비비기
5. 엄지손가락: 엄지손가락을 돌려주며 닦아주기
6. 손톱 밑: 손톡 밑을 손바닥에 문지르며 마무리",,,,,,
행동-9,"그림
Art",체험,"작동형
(신체활동)","공으로 그리는 그림
Ball art","점'들이 연속되어 있으면 '선'이 되고, 선들이 여러 개 모이면 '면'이 되지요. 반반씩 다른 색이 칠해진 공을 돌려서, 재미있는 그림을 만들어 보세요.",,,,,,
,,체험,"작동형
(신체활동)","일곱 개의 조각 칠교
Tangram","칠교는 큰 정사각형을 일곱 개의 조각으로 나눈 것이에요.
이 조각들은 정사각형, 이등변삼각형, 평행사변형 등으로 이루어져 있어요. 일곱 개의 조각들을 사용해서 다양한 모양을 만들어보세요.",,,,,,
,"착각?
Illusion",체험,"작동형
(신체활동)","눈의 착각
Illusion of Eyes","일그러진 그림(왜상, 아나모르포시스 anamorphosis)
그냥 보면 일그러진 모습으로
보이지만 특정한 위치에서 보거나 거울에 비춰 보면 정상적인 모습으로 보이도록 원근법을 이용하여 왜곡해서 표현하는 방법이에요.

움직이는 그림(잔상, 조트로프 장치)
조로프 장치 이 어떤 그림을 보면 뇌에 그 그림이 시 머물러 있어요. 뇌에 머물러 있는 그림이 사라지기 전에 다음 그림을
1면 연속적으로 움직이는 것처럼
-끼게 되지요. 사람들은 이런 현상을 이용해서 만화 영화를 만들었답니다.
에 비친 모습을 세요","이렇게 해봐요
1. 보고 싶은 그림판을 골라 체험대에 올려놓으세요.
2. 가운데 구멍에 거울 막대를 끼우세요.
3. 거울 막대에 비친 모습을 보고 어떤 그림인지 관찰해보세요.
4. 그림판을 돌리면서 그림을 감상해 보세요.",,,,,
,,체험,"작동형
(신체활동)","손의 착각
Illusion of Hands","양손을 맞대고 문질러봐요
Velvet Hand Illusion
그물망의 양 옆에 손을 맞대고 움직여 보세요. 부드럽고 매끄러운 감촉이 느껴지지요? 이 느낌은 촉각을 담당하는 세포'와 '두께, 간격 등을 인지하는 촉감'의 차이때문에 생기는 것으로 '벨벳 촉각 착각 현상 (Velvet Hand Mlusion)' 이라고 합니다.","이렇게 해봐요
1. 간격이 다른 두 그물망에 번갈아 양 손을 맞대고 체험해보세요.
2. 양 손을 움직이는 속도를 다르게 하면서 비교해 보세요.
3. 친구와 한 손씩 맞대어 움직여 보세요.",,,,,
,"움직이는 공작소
Automata",체험,"작동형
(신체활동)","나무를 옮겨요
Gear / Linkage","기어
두 개 이상의 톱니바퀴가 서로 맞물려 돌아가며 동력을 전달해요

링키지
긴 막대를 교차하듯 이어서 기어의 원운동을 직선운동으로 바꿔줘요",,,,,,
,,체험,"작동형
(신체활동)","사다리를 올려요
Ratchet / Crank","래칫
톱니바퀴를 한 쪽 방향으로만 움직이게 하는 장치예요.

크랭크
회전운동과 왕복운동으로 서로 바꾸는데 쓰이는 정치예요.",,,,,,
,,체험,"작동형
(신체활동)","망치질을 해요
Cam / Lever","캠
회전운동을 상하 왕복운동으로 바꾸어주는 역할로 망치의 움직임을 만들어내요

지레
막대의 한 점을 기준으로 막대 길이에 따라 힘의 크기나 이동거리를 바꿔 물체를 움직일 수 있어요",,,,,,
,,체험,"작동형
(신체활동)","페인트칠을 해요
Crank","크랭크
바퀴에 붙어있는 연결핀이 'L'자 모양의 링크 홈을 따라 움직이며 회전운동을 왕복 운동으로 변환시켜요",,,,,,
